	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__albicans
OTU3	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Thermoascaceae	g__Paecilomyces	s__dactylethromorphus
OTU4	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU5	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__parapsilosis
OTU6	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU7	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__sphaerospermum
OTU8	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__arunalokei
OTU9	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__cladosporioides
OTU10	k__Fungi						
OTU11	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU12	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__incarnatum
OTU13	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__brassicae
OTU14	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
OTU15	k__Fungi						
OTU16	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__arunalokei
OTU17	k__Fungi	p__Ascomycota					
OTU18	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU19	k__Fungi						
OTU20	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae		
OTU21	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU22	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU23	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__aculeatus
OTU24	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__ruber
OTU25	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	
OTU26	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__incarnatum
OTU27	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
OTU28	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU29	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Yarrowia	s__lipolytica
OTU30	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Nigrospora	s__oryzae
OTU31	k__Fungi						
OTU32	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	
OTU33	k__Fungi						
OTU34	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Protomycetaceae	g__Saitoella	s__complicata
OTU35	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum	s__nigrum
OTU36	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodosporidiobolus	s__platycladi
OTU37	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU38	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU39	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__adametzioides
OTU40	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremaceae	g__Papiliotrema	s__fusca
OTU41	k__Fungi						
OTU42	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__infrequens
OTU43	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__ruber
OTU44	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	
OTU45	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__mangiferae
OTU46	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU47	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU48	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	s__pseudolongus
OTU49	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Ischnodermataceae	g__Ischnoderma	
OTU50	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU51	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Hannaella	
OTU52	k__Fungi						
OTU53	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Cyberlindnera	s__jadinii
OTU54	k__Fungi						
OTU55	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
OTU56	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__restricta
OTU57	k__Fungi						
